cell,regime,concentration,contention,floor_regime,policy,n_seeds,completion_mean,tasks_per_run_mean,diff_vs_equal,diff_vs_equal_tasks,diff_vs_equal_ci_lo,diff_vs_equal_ci_hi,diff_vs_equal_ci_lo_tasks,diff_vs_equal_ci_hi_tasks,diff_vs_drf,diff_vs_drf_tasks,diff_vs_drf_ci_lo,diff_vs_drf_ci_hi,capacity_utilization,alloc_distance_from_equal,latency_median_ms,latency_p95_ms,agent_completion_mean,agent_completion_min,agent_completion_p5,frac_zero_completion,frac_worse_than_equal
dirichlet_0.03__high,dirichlet_0.03,0.03,high,unit,equal,30,0.48055555555555557,23.066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.022916666666666672,-1.1000000000000003,-0.039583333333333345,-0.006250000000000007,0.8135963827155728,0.0,0.0,0.0,0.48055555555555557,0.125,0.25,0.0,0.0
dirichlet_0.03__high,dirichlet_0.03,0.03,high,unit,drf,30,0.5034722222222222,24.166666666666664,0.022916666666666672,1.1000000000000003,0.007621527777777775,0.03958333333333333,0.3658333333333332,1.9,0.0,0.0,0.0,0.0,0.8480012167497307,0.22107201537037013,0.0,0.0,0.5034722222222222,0.0,0.125,0.005555555555555556,0.21666666666666667
dirichlet_0.03__high,dirichlet_0.03,0.03,high,unit,decomposed_cobb_douglas,30,0.5375,25.799999999999997,0.05694444444444445,2.7333333333333334,0.043055555555555555,0.07152777777777777,2.0666666666666664,3.433333333333333,0.034027777777777775,1.6333333333333333,0.02013888888888888,0.04791666666666667,0.8598913610630509,0.09155780478229424,0.0,0.0,0.5375,0.125,0.125,0.0,0.12222222222222222
dirichlet_0.03__high,dirichlet_0.03,0.03,high,unit,joint_linear,30,0.06041666666666667,2.9,-0.42013888888888895,-20.16666666666667,-0.4520833333333333,-0.3895659722222223,-21.699999999999996,-18.69916666666667,-0.44305555555555554,-21.266666666666666,-0.48335069444444445,-0.40277777777777785,0.0746496704234548,0.8218714094238848,643.5,678.1,0.06041666666666667,0.0,0.0,0.7111111111111111,1.0
dirichlet_0.03__high,dirichlet_0.03,0.03,high,unit,joint_cobb_douglas,30,0.5375,25.799999999999997,0.05694444444444445,2.7333333333333334,0.04305555555555555,0.07083333333333333,2.0666666666666664,3.4,0.034027777777777775,1.6333333333333333,0.020833333333333325,0.04791666666666665,0.8598913610630509,0.09160630066681054,657.0,700.55,0.5375,0.125,0.125,0.0,0.12222222222222222
dirichlet_0.03__high,dirichlet_0.03,0.03,high,unit,joint_ces,30,0.41944444444444445,20.133333333333333,-0.061111111111111116,-2.9333333333333336,-0.08473958333333335,-0.0375,-4.067500000000001,-1.7999999999999998,-0.08402777777777778,-4.033333333333333,-0.10972222222222225,-0.058333333333333355,0.6627598447306503,0.16479134820343697,665.0,695.2,0.41944444444444445,0.0,0.0,0.06111111111111111,0.39444444444444443
dirichlet_0.03__high,dirichlet_0.03,0.03,high,unit,joint_leontief,30,0.5493055555555556,26.366666666666667,0.06875,3.3000000000000003,0.057638888888888885,0.08057291666666658,2.7666666666666666,3.8674999999999957,0.04583333333333333,2.1999999999999997,0.029166666666666667,0.0611111111111111,0.9018636764417078,0.1430773385669449,665.5,696.2,0.5493055555555556,0.25,0.25,0.0,0.06111111111111111
dirichlet_0.03__moderate,dirichlet_0.03,0.03,moderate,unit,equal,30,0.7006944444444445,33.63333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0055555555555555506,0.26666666666666644,-0.011111111111111124,0.021527777777777788,0.8696497423925559,0.0,0.0,0.0,0.7006944444444444,0.25,0.375,0.0,0.0
dirichlet_0.03__moderate,dirichlet_0.03,0.03,moderate,unit,drf,30,0.6951388888888886,33.36666666666665,-0.0055555555555555506,-0.26666666666666644,-0.02083333333333333,0.009722222222222233,-0.9999999999999998,0.4666666666666672,0.0,0.0,0.0,0.0,0.8848244968668709,0.18138928394675055,0.0,0.0,0.6951388888888889,0.125,0.25,0.0,0.26666666666666666
dirichlet_0.03__moderate,dirichlet_0.03,0.03,moderate,unit,decomposed_cobb_douglas,30,0.7583333333333334,36.400000000000006,0.057638888888888885,2.7666666666666666,0.041649305555555544,0.07430555555555557,1.999166666666666,3.5666666666666673,0.06319444444444443,3.0333333333333323,0.04305555555555558,0.08194444444444446,0.9249978465832196,0.06534233790570623,0.0,0.0,0.7583333333333333,0.25,0.375,0.0,0.1
dirichlet_0.03__moderate,dirichlet_0.03,0.03,moderate,unit,joint_linear,30,0.12569444444444447,6.033333333333335,-0.575,-27.599999999999998,-0.6131944444444445,-0.5333159722222224,-29.433333333333337,-25.599166666666676,-0.5694444444444444,-27.333333333333332,-0.6069444444444444,-0.5277777777777779,0.12121971518959627,0.6483450636323259,689.0,794.55,0.12569444444444444,0.0,0.0,0.5055555555555555,0.9777777777777777
dirichlet_0.03__moderate,dirichlet_0.03,0.03,moderate,unit,joint_cobb_douglas,30,0.7583333333333334,36.400000000000006,0.057638888888888885,2.7666666666666666,0.041666666666666664,0.07430555555555556,2.0,3.5666666666666664,0.06319444444444443,3.0333333333333323,0.04375,0.08125000000000002,0.9249978465832196,0.06538427475479924,672.0,740.2,0.7583333333333333,0.25,0.375,0.0,0.1
dirichlet_0.03__moderate,dirichlet_0.03,0.03,moderate,unit,joint_ces,30,0.6201388888888888,29.766666666666662,-0.08055555555555555,-3.8666666666666663,-0.11180555555555555,-0.05486111111111112,-5.366666666666666,-2.6333333333333337,-0.07500000000000002,-3.6000000000000014,-0.10835069444444446,-0.04164930555555565,0.7761773165901544,0.11289066265183198,688.5,794.05,0.6201388888888889,0.0,0.25,0.005555555555555556,0.4
dirichlet_0.03__moderate,dirichlet_0.03,0.03,moderate,unit,joint_leontief,30,0.7729166666666667,37.1,0.07222222222222222,3.4666666666666663,0.057638888888888885,0.08750000000000004,2.7666666666666666,4.200000000000002,0.07777777777777775,3.733333333333332,0.06180555555555555,0.09375000000000001,0.9465627791934986,0.10128945125155044,677.0,791.75,0.7729166666666667,0.375,0.375,0.0,0.03333333333333333
dirichlet_0.1__high,dirichlet_0.1,0.1,high,unit,equal,30,0.48611111111111105,23.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-0.03263888888888889,-1.5666666666666669,-0.045138888888888916,-0.02013888888888889,0.8362062231193627,0.0,0.0,0.0,0.4861111111111111,0.125,0.25,0.0,0.0
dirichlet_0.1__high,dirichlet_0.1,0.1,high,unit,drf,30,0.51875,24.900000000000002,0.03263888888888889,1.5666666666666669,0.019444444444444455,0.045833333333333344,0.9333333333333338,2.2000000000000006,0.0,0.0,0.0,0.0,0.8737277527264395,0.19944752600947108,0.0,0.0,0.51875,0.0,0.125,0.005555555555555556,0.16666666666666666
dirichlet_0.1__high,dirichlet_0.1,0.1,high,unit,decomposed_cobb_douglas,30,0.5555555555555556,26.666666666666668,0.06944444444444445,3.3333333333333335,0.05138888888888891,0.0875,2.4666666666666677,4.199999999999999,0.03680555555555555,1.7666666666666664,0.019444444444444434,0.05416666666666667,0.8922056482358657,0.08250815171853737,0.0,0.0,0.5555555555555556,0.125,0.25,0.0,0.08333333333333333
