regime,concentration,contention,n_seeds,resource_demand_tv_mean,resource_demand_tv_median,resource_demand_tv_min,resource_demand_tv_max,resource_demand_tv_p95,task_mixture_tv_mean,task_entropy_mean,frac_all_four_mean,resource_centroid_distance_mean,active_resource_count_mean,mean_realized_contention
dirichlet_0.03,0.03,high,30,0.13664893345152876,0.13908421080834876,0.04366281866281867,0.19279202279202276,0.18892697912324624,0.781111111111111,0.08787880949674978,0.0,0.09500447695030291,4.0,1.8992639541061782
dirichlet_0.03,0.03,moderate,30,0.13664893345152876,0.13908421080834876,0.04366281866281867,0.19279202279202276,0.18892697912324624,0.781111111111111,0.08787880949674978,0.0,0.09500447695030291,4.0,1.2998755290631467
dirichlet_0.1,0.1,high,30,0.10201393520787252,0.11005816861981244,0.042707397424378554,0.1656131560283035,0.16213609994702538,0.6994444444444444,0.2252363267744758,0.0,0.06847140632200392,4.0,1.8994323663188069
dirichlet_0.1,0.1,moderate,30,0.10201393520787252,0.11005816861981244,0.042707397424378554,0.1656131560283035,0.16213609994702538,0.6994444444444444,0.2252363267744758,0.0,0.06847140632200392,4.0,1.300027043442761
dirichlet_0.3,0.3,high,30,0.08633586513774552,0.0884801433044004,0.03906670706336777,0.16097636410300004,0.12472343959704009,0.6188888888888887,0.4529440760716194,0.06111111111111111,0.05675260878006691,4.0,1.899902550953351
dirichlet_0.3,0.3,moderate,30,0.08633586513774552,0.0884801433044004,0.03906670706336777,0.16097636410300004,0.12472343959704009,0.6188888888888887,0.4529440760716194,0.06111111111111111,0.05675260878006691,4.0,1.3000142784949638
dirichlet_1.0,1.0,high,30,0.06013794157526218,0.05586610094582288,0.024950214484572002,0.09487584049905246,0.0876365889127675,0.49138888888888893,0.6520500309098866,0.20555555555555557,0.03939656872002816,4.0,1.9000987199715633
dirichlet_1.0,1.0,moderate,30,0.06013794157526218,0.05586610094582288,0.024950214484572002,0.09487584049905246,0.0876365889127675,0.49138888888888893,0.6520500309098866,0.20555555555555557,0.03939656872002816,4.0,1.2998884605833283
dirichlet_3.0,3.0,high,30,0.043316235621167744,0.038507845826087496,0.017373456942024534,0.0790918425745742,0.07446344975059255,0.42194444444444446,0.7572170881424523,0.39999999999999997,0.028121612683862412,4.0,1.9006661053564418
dirichlet_3.0,3.0,moderate,30,0.043316235621167744,0.038507845826087496,0.017373456942024534,0.0790918425745742,0.07446344975059255,0.42194444444444446,0.7572170881424523,0.39999999999999997,0.028121612683862412,4.0,1.2999643910632026
homogeneous,,high,30,0.0,0.0,0.0,0.0,0.0,0.0,0.8129146365676938,0.5666666666666667,1.850371707708594e-17,3.966666666666667,1.8993735076910054
homogeneous,,moderate,30,0.0,0.0,0.0,0.0,0.0,0.0,0.8129146365676938,0.5666666666666667,1.850371707708594e-17,3.966666666666667,1.2993481498649067
iid_uniform,,high,30,0.035415998887836544,0.03308288545969483,0.015906753280475708,0.05710378230568657,0.05448862913181876,0.31305555555555564,0.8612263102442619,0.6944444444444444,0.02288745985961084,4.0,1.8999156300753897
iid_uniform,,moderate,30,0.035415998887836544,0.03308288545969483,0.015906753280475708,0.05710378230568657,0.05448862913181876,0.31305555555555564,0.8612263102442619,0.6944444444444444,0.02288745985961084,4.0,1.2997864298362003
