regime,contention,res_tv_mean,entropy_mean,leo_minus_drf_tasks,ci_lo_frac,ci_hi_frac,ci_lo_tasks,ci_hi_tasks
homogeneous,moderate,0.0,0.8167759753871857,0.024999999999999988,0.00010416666666666685,0.0010416666666666658,0.005000000000000009,0.04999999999999996
homogeneous,high,0.0,0.8167759753871857,0.04000000000000002,0.00020833333333333343,0.001458333333333335,0.010000000000000005,0.07000000000000008
iid_uniform,moderate,0.036222860515801335,0.8417439786846944,0.044999999999999894,-0.004270833333333335,0.005835937499999965,-0.20500000000000007,0.28012499999999835
iid_uniform,high,0.036222860515801335,0.8417439786846944,0.08499999999999983,-0.0021901041666666727,0.005937499999999992,-0.10512500000000029,0.28499999999999964
dirichlet_3.0,moderate,0.04800457659442144,0.763730117725415,0.19500000000000026,-0.0008333333333333287,0.008752604166666638,-0.03999999999999978,0.42012499999999864
dirichlet_3.0,high,0.04800457659442144,0.763730117725415,0.37000000000000016,0.003020833333333346,0.012187500000000004,0.1450000000000006,0.5850000000000002
dirichlet_1.0,moderate,0.06504456349653923,0.6433961766319816,0.7899999999999999,0.011145833333333337,0.02187499999999999,0.5350000000000001,1.0499999999999996
dirichlet_1.0,high,0.06504456349653923,0.6433961766319816,0.32999999999999985,0.0019791666666666655,0.011666666666666665,0.09499999999999995,0.5599999999999999
dirichlet_0.3,moderate,0.09243268578268711,0.42378897221241646,1.6549999999999998,0.02895833333333334,0.03989583333333333,1.3900000000000003,1.915
dirichlet_0.3,high,0.09243268578268711,0.42378897221241646,1.1899999999999997,0.01989583333333333,0.029583333333333336,0.9549999999999998,1.4200000000000002
dirichlet_0.1,moderate,0.11673957705945998,0.22238411297366803,2.5949999999999998,0.0478125,0.060210937499999964,2.295,2.8901249999999985
dirichlet_0.1,high,0.11673957705945998,0.22238411297366803,1.77,0.03135416666666667,0.04260416666666666,1.5050000000000001,2.0449999999999995
dirichlet_0.03,moderate,0.12480325808960469,0.07176007288942797,3.1549999999999994,0.05906249999999999,0.07239583333333333,2.8349999999999995,3.4749999999999996
dirichlet_0.03,high,0.12480325808960469,0.07176007288942797,1.7950000000000002,0.03072916666666667,0.04385416666666668,1.475,2.1050000000000004
