policy,n_seeds,task_completion,task_quality,entrant_admission_rate,mean_waiting_time,worst_incumbent_loss,mean_churn_frac,mean_binding_commitments,commitment_infeasibility,mean_utilization,capacity_violations_total
reoptimize,5,0.02616666666666667,0.022002493032006458,1.0,0.0,-0.25,0.1771910103583946,0.0,0.0,0.0645903496217656,0
permanent_floors,5,0.03445833333333333,0.03036439700932147,0.9,1.9,-0.3,0.15540899549932147,1.1099999999999999,6.0,0.08123992861391141,0
leases,5,0.03416666666666667,0.028612354769246943,1.0,0.8,-0.4,0.18255306602622304,0.9700000000000001,4.0,0.0743287144833208,0
leases_shortfall,5,0.037000000000000005,0.03128749258831024,1.0,0.8,-0.4,0.18438946001620632,0.9700000000000001,4.0,0.0815845790450947,0
