mode,seed,policy,epoch,n_active,churn_units,churn_frac,binding_commitments,commitment_infeasible,capacity_violation,mean_completion,mean_quality
smoke,3443763727,reoptimize,0,4,848,0.991812865497076,0,0,0,0.0625,0.061710372267453295
smoke,3443763727,reoptimize,1,4,0,0.0,0,0,0,0.0625,0.061710372267453295
smoke,3443763727,reoptimize,2,5,665,0.7777777777777778,0,0,0,0.2,0.1586344970485877
smoke,3443763727,reoptimize,3,5,0,0.0,0,0,0,0.2,0.1586344970485877
smoke,3443763727,reoptimize,4,5,0,0.0,0,0,0,0.2,0.1586344970485877
smoke,3443763727,reoptimize,5,5,0,0.0,0,0,0,0.2,0.1586344970485877
smoke,3443763727,reoptimize,6,5,256,0.4273789649415693,0,0,0,0.15,0.11275187087693454
smoke,3443763727,reoptimize,7,5,0,0.0,0,0,0,0.15,0.11275187087693454
smoke,3443763727,reoptimize,8,5,0,0.0,0,0,0,0.15,0.11275187087693454
smoke,3443763727,reoptimize,9,5,0,0.0,0,0,0,0.15,0.11275187087693454
smoke,3443763727,reoptimize,10,5,0,0.0,0,0,0,0.15,0.11275187087693454
smoke,3443763727,reoptimize,11,5,0,0.0,0,0,0,0.15,0.11275187087693454
smoke,3443763727,reoptimize,12,5,256,0.2994152046783626,0,0,0,0.2,0.1586344970485877
smoke,3443763727,reoptimize,13,5,0,0.0,0,0,0,0.2,0.1586344970485877
smoke,3443763727,reoptimize,14,5,0,0.0,0,0,0,0.2,0.1586344970485877
smoke,3443763727,reoptimize,15,5,0,0.0,0,0,0,0.2,0.1586344970485877
smoke,3443763727,reoptimize,16,5,0,0.0,0,0,0,0.2,0.1586344970485877
smoke,3443763727,reoptimize,17,5,0,0.0,0,0,0,0.2,0.1586344970485877
smoke,3443763727,reoptimize,18,5,747,0.8736842105263158,0,0,0,0.05,0.03589717124053717
smoke,3443763727,reoptimize,19,5,0,0.0,0,0,0,0.05,0.03589717124053717
smoke,3443763727,permanent_floors,0,4,848,0.991812865497076,0,0,0,0.0625,0.061710372267453295
smoke,3443763727,permanent_floors,1,4,0,0.0,4,0,0,0.0625,0.061710372267453295
smoke,3443763727,permanent_floors,2,5,594,0.6947368421052632,0,0,0,0.2,0.1586344970485877
smoke,3443763727,permanent_floors,3,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,permanent_floors,4,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,permanent_floors,5,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,permanent_floors,6,5,337,0.5626043405676127,0,1,0,0.15,0.11275187087693454
smoke,3443763727,permanent_floors,7,5,0,0.0,0,1,0,0.15,0.11275187087693454
smoke,3443763727,permanent_floors,8,5,0,0.0,0,1,0,0.15,0.11275187087693454
smoke,3443763727,permanent_floors,9,5,0,0.0,0,1,0,0.15,0.11275187087693454
smoke,3443763727,permanent_floors,10,5,0,0.0,0,1,0,0.15,0.11275187087693454
smoke,3443763727,permanent_floors,11,5,0,0.0,0,1,0,0.15,0.11275187087693454
smoke,3443763727,permanent_floors,12,5,337,0.39415204678362575,2,0,0,0.2,0.1586344970485877
smoke,3443763727,permanent_floors,13,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,permanent_floors,14,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,permanent_floors,15,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,permanent_floors,16,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,permanent_floors,17,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,permanent_floors,18,5,609,0.712280701754386,0,0,0,0.0,0.0
smoke,3443763727,permanent_floors,19,5,0,0.0,2,0,0,0.0,0.0
smoke,3443763727,leases,0,4,848,0.991812865497076,0,0,0,0.0625,0.061710372267453295
smoke,3443763727,leases,1,4,0,0.0,4,0,0,0.0625,0.061710372267453295
smoke,3443763727,leases,2,5,594,0.6947368421052632,0,0,0,0.2,0.1586344970485877
smoke,3443763727,leases,3,5,0,0.0,2,0,0,0.2,0.1586344970485877
smoke,3443763727,leases,4,5,0,0.0,2,0,0,0.2,0.1586344970485877
