mode,seed,policy,epoch,n_active,churn_units,churn_frac,binding_commitments,commitment_infeasible,capacity_violation,mean_completion,mean_quality
full,3443763727,reoptimize,68,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,69,4,43,0.027301587301587302,0,0,0,0.0,0.0
full,3443763727,reoptimize,70,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,71,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,72,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,73,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,74,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,75,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,76,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,77,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,78,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,79,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,80,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,81,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,82,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,83,4,0,0.0,0,0,0,0.0,0.0
full,3443763727,reoptimize,84,3,476,0.3022222222222222,0,0,0,0.3333333333333333,0.3312982523165733
full,3443763727,reoptimize,85,3,0,0.0,0,0,0,0.3333333333333333,0.3312982523165733
full,3443763727,reoptimize,86,3,0,0.0,0,0,0,0.3333333333333333,0.3312982523165733
full,3443763727,reoptimize,87,3,0,0.0,0,0,0,0.3333333333333333,0.3312982523165733
full,3443763727,reoptimize,88,3,0,0.0,0,0,0,0.3333333333333333,0.3312982523165733
full,3443763727,reoptimize,89,3,0,0.0,0,0,0,0.3333333333333333,0.3312982523165733
full,3443763727,reoptimize,90,3,42,0.02666666666666667,0,0,0,0.26666666666666666,0.26463158564990663
full,3443763727,reoptimize,91,3,0,0.0,0,0,0,0.26666666666666666,0.26463158564990663
full,3443763727,reoptimize,92,2,445,0.28253968253968254,0,0,0,1.0,0.9923981791914824
full,3443763727,reoptimize,93,2,156,0.09904761904761905,0,0,0,1.0,0.9923981791914824
full,3443763727,reoptimize,94,2,0,0.0,0,0,0,1.0,0.9923981791914824
full,3443763727,reoptimize,95,2,0,0.0,0,0,0,1.0,0.9923981791914824
full,3443763727,reoptimize,96,2,58,0.036825396825396824,0,0,0,1.0,0.9923981791914824
full,3443763727,reoptimize,97,2,0,0.0,0,0,0,1.0,0.9923981791914824
full,3443763727,reoptimize,98,2,0,0.0,0,0,0,1.0,0.9923981791914824
full,3443763727,reoptimize,99,2,0,0.0,0,0,0,1.0,0.9923981791914824
full,3443763727,permanent_floors,0,5,1569,0.9961904761904762,0,0,0,0.0,0.0
full,3443763727,permanent_floors,1,5,0,0.0,5,0,0,0.0,0.0
full,3443763727,permanent_floors,2,5,0,0.0,5,0,0,0.0,0.0
full,3443763727,permanent_floors,3,5,0,0.0,5,0,0,0.0,0.0
full,3443763727,permanent_floors,4,5,0,0.0,5,0,0,0.0,0.0
full,3443763727,permanent_floors,5,5,1,0.0006349206349206349,3,0,0,0.0,0.0
full,3443763727,permanent_floors,6,6,24,0.015238095238095238,0,0,0,0.0,0.0
full,3443763727,permanent_floors,7,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,8,5,17,0.010793650793650795,4,0,0,0.0,0.0
full,3443763727,permanent_floors,9,5,0,0.0,4,0,0,0.0,0.0
full,3443763727,permanent_floors,10,6,14,0.008888888888888889,0,0,0,0.0,0.0
full,3443763727,permanent_floors,11,6,1,0.0006349206349206349,1,0,0,0.0,0.0
full,3443763727,permanent_floors,12,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,13,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,14,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,15,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,16,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,17,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,18,6,0,0.0,1,0,0,0.0,0.0
full,3443763727,permanent_floors,19,6,0,0.0,1,0,0,0.0,0.0
