seed,policy,task_completion,task_quality,entrant_admission_rate,mean_waiting_time,worst_incumbent_loss,mean_churn_frac,mean_binding_commitments,commitment_infeasibility,capacity_violations,mean_utilization
3443763727,reoptimize,0.07625000000000001,0.06829310605276218,1.0,0.0,-0.5,0.16850345117105509,0.0,0,0,0.09255357401661404
3443763727,permanent_floors,0.07125000000000001,0.06782838892870846,1.0,0.0,-0.5,0.16777933983539817,1.2,6,0,0.10536297307988307
3443763727,leases,0.07625000000000001,0.06954310605276218,1.0,0.0,-0.5,0.17150504251725585,1.1,4,0,0.09863676842798183
3443763727,leases_shortfall,0.08625000000000002,0.07739702517166484,1.0,0.0,-0.5,0.17751505921174668,1.1,4,0,0.10548990234209792
1732094786,reoptimize,0.010833333333333334,0.0086538939326227,1.0,0.0,-0.25,0.19127297933202508,0.0,0,0,0.08549693766334633
1732094786,permanent_floors,0.008333333333333333,0.006411490094079248,1.0,1.0,-0.25,0.16743480850149858,1.25,6,0,0.09686939013487002
1732094786,leases,0.010833333333333334,0.008341393932622699,1.0,0.0,-0.25,0.17928623729607826,0.75,4,0,0.0797064100341964
1732094786,leases_shortfall,0.027500000000000004,0.021164374120781194,1.0,0.0,-0.25,0.18446152944966757,0.75,4,0,0.09111636300621091
3339037984,reoptimize,0.034375,0.025277117870553173,1.0,0.0,-0.25,0.1905950463247713,0.0,0,0,0.1367409601726161
3339037984,permanent_floors,0.055208333333333325,0.04091166141563117,1.0,4.5,-0.5,0.1597603217838698,0.8,6,0,0.15789619150043388
3339037984,leases,0.04375,0.030753025529361672,1.0,2.5,-0.25,0.1856015386267561,0.8,4,0,0.1432940708840849
3339037984,leases_shortfall,0.03125,0.023451815317617003,1.0,2.5,-0.25,0.1867701529840182,0.8,4,0,0.1613103068068238
3143681886,reoptimize,0.009375,0.007788347304094241,1.0,0.0,-0.25,0.1876482246238858,0.0,0,0,0.00816027625625149
3143681886,permanent_floors,0.01875,0.017920444608188486,0.5,4.0,0.0,0.1300239190073124,1.7,6,0,0.023035544177185042
3143681886,leases,0.016874999999999998,0.012189962139616478,1.0,1.5,-0.25,0.18513360474084486,1.45,4,0,0.01452127839318242
3143681886,leases_shortfall,0.016874999999999998,0.012189962139616478,1.0,1.5,-0.25,0.18596832928174636,1.45,4,0,0.01452127839318242
1439426857,reoptimize,0.0,0.0,1.0,0.0,0.0,0.14793535034023567,0.0,0,0,0.0
1439426857,permanent_floors,0.01875,0.01875,1.0,0.0,-0.25,0.15204658836852844,0.6,6,0,0.023035544177185046
1439426857,leases,0.023125,0.022234286191871688,1.0,0.0,-0.75,0.19123890695018012,0.75,4,0,0.03548504467715846
1439426857,leases_shortfall,0.023125,0.022234286191871688,1.0,0.0,-0.75,0.1872322291538529,0.75,4,0,0.03548504467715846
