cell,regime,contention,seed,arm,solver_status,feasible,fallback_used,queue_order_completion_mean,queue_order_tasks_per_run,best_subset_completion_mean,best_subset_tasks_per_run,frac_zero_qo,frac_zero_bs,capacity_utilization,unused_installed_total,capacity_violation,bound_violation,alloc_latency_ms
dirichlet_0.1__high,dirichlet_0.1,high,79596452,separable_leontief_relaxation,preinstalled,True,False,0.4375,21.0,0.4375,21.0,0.0,0.0,0.7731864095500459,247,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,105735450,central_joint_leontief,optimal,True,False,0.6041666666666666,29.0,0.6041666666666666,29.0,0.0,0.0,0.894919972164231,141,0,0,621
dirichlet_0.1__high,dirichlet_0.1,high,105735450,distributed_price_leontief,preinstalled,True,False,0.6041666666666666,29.0,0.6041666666666666,29.0,0.0,0.0,0.894919972164231,151,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,105735450,drf,drf,True,False,0.5833333333333334,28.0,0.5833333333333334,28.0,0.0,0.0,0.8851774530271399,78,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,105735450,equal,equal,True,False,0.5833333333333334,28.0,0.5833333333333334,28.0,0.0,0.0,0.8782185107863605,175,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,105735450,independent_bundle_maxmin,preinstalled,True,False,0.6041666666666666,29.0,0.6041666666666666,29.0,0.0,0.0,0.9116214335421016,127,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,105735450,separable_leontief_relaxation,preinstalled,True,False,0.5833333333333334,28.0,0.5833333333333334,28.0,0.0,0.0,0.8782185107863605,175,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,119160524,central_joint_leontief,optimal,True,False,0.6041666666666666,29.0,0.6041666666666666,29.0,0.0,0.0,0.9593869731800766,52,0,0,627
dirichlet_0.1__high,dirichlet_0.1,high,119160524,distributed_price_leontief,preinstalled,True,False,0.6041666666666666,29.0,0.6041666666666666,29.0,0.0,0.0,0.9647509578544061,46,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,119160524,drf,drf,True,False,0.5208333333333334,25.0,0.5208333333333334,25.0,0.0,0.0,0.8613026819923372,100,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,119160524,equal,equal,True,False,0.5208333333333334,25.0,0.5416666666666666,26.0,0.0,0.0,0.8459770114942529,201,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,119160524,independent_bundle_maxmin,preinstalled,True,False,0.6041666666666666,29.0,0.6041666666666666,29.0,0.0,0.0,0.9593869731800766,53,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,119160524,separable_leontief_relaxation,preinstalled,True,False,0.5208333333333334,25.0,0.5416666666666666,26.0,0.0,0.0,0.8459770114942529,201,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,144382842,central_joint_leontief,optimal,True,False,0.5833333333333334,28.0,0.5833333333333334,28.0,0.0,0.0,0.9367448471926084,88,0,0,637
dirichlet_0.1__high,dirichlet_0.1,high,144382842,distributed_price_leontief,preinstalled,True,False,0.5833333333333334,28.0,0.5833333333333334,28.0,0.0,0.0,0.9367448471926084,89,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,144382842,drf,drf,True,False,0.5625,27.0,0.5625,27.0,0.0,0.0,0.9182658137882018,56,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,144382842,equal,equal,True,False,0.4791666666666667,23.0,0.4791666666666667,23.0,0.0,0.0,0.8415067519545132,223,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,144382842,independent_bundle_maxmin,preinstalled,True,False,0.5833333333333334,28.0,0.5833333333333334,28.0,0.0,0.0,0.916133617626155,118,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,144382842,separable_leontief_relaxation,preinstalled,True,False,0.4791666666666667,23.0,0.4791666666666667,23.0,0.0,0.0,0.8415067519545132,223,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,154011620,central_joint_leontief,optimal,True,False,0.5208333333333334,25.0,0.5208333333333334,25.0,0.0,0.0,0.8941798941798942,139,0,0,622
dirichlet_0.1__high,dirichlet_0.1,high,154011620,distributed_price_leontief,preinstalled,True,False,0.5,24.0,0.5208333333333334,25.0,0.0,0.0,0.8745275888133031,166,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,154011620,drf,drf,True,False,0.4166666666666667,20.0,0.4583333333333333,22.0,0.0,0.0,0.7966742252456538,194,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,154011620,equal,equal,True,False,0.4583333333333333,22.0,0.4583333333333333,22.0,0.0,0.0,0.8155706727135299,244,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,154011620,independent_bundle_maxmin,preinstalled,True,False,0.5208333333333334,25.0,0.5208333333333334,25.0,0.0,0.0,0.8752834467120182,165,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,154011620,separable_leontief_relaxation,preinstalled,True,False,0.4583333333333333,22.0,0.4583333333333333,22.0,0.0,0.0,0.8155706727135299,244,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,160641470,central_joint_leontief,optimal,True,False,0.6041666666666666,29.0,0.625,30.0,0.0,0.0,0.9406354515050167,71,0,0,628
dirichlet_0.1__high,dirichlet_0.1,high,160641470,distributed_price_leontief,preinstalled,True,False,0.6041666666666666,29.0,0.625,30.0,0.0,0.0,0.9464882943143813,64,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,160641470,drf,drf,True,False,0.5208333333333334,25.0,0.5208333333333334,25.0,0.0,0.0,0.8779264214046822,104,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,160641470,equal,equal,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.8076923076923077,230,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,160641470,independent_bundle_maxmin,preinstalled,True,False,0.6458333333333334,31.0,0.6458333333333334,31.0,0.0,0.0,0.9289297658862876,85,0,0,0
dirichlet_0.1__high,dirichlet_0.1,high,160641470,separable_leontief_relaxation,preinstalled,True,False,0.4791666666666667,23.0,0.5,24.0,0.0,0.0,0.8076923076923077,230,0,0,0
